author,video_id,likes,replies
47720,dT8BMqIpR4I,0,1
65124,YCqmXr7p7N4,1,0
13448,_DWnsiFJ7rg,0,0
47119,vaMwLHefpAI,0,0
51458,iTthJI0rDnk,0,0
54697,5qF_qbaWt3Q,0,0
57769,inZzcTXYowY,0,0
28511,r5fXvIwrLr0,0,0
55966,YCXBydqFaEY,0,0
9901,R0L6HhutUbg,0,0
58087,aa0KRhWf8tM,0,0
34943,FYfZwDorJsw,0,0
41200,0YsjrA87Cno,0,1
9025,lQ1dXV1RkLA,1,0
16912,6ePE71taKcg,0,0
63510,DTtqru2FDoU,0,0
20774,N_T1lMm8b1M,0,0
21726,mDm0zsw9vjY,0,0
51956,CfipRXooCTM,0,0
22184,0dutvhU90HE,0,0
41200,XcQ0ZyZr_4o,0,0
53411,y_S_a9CuUXY,0,0
1259,Ap5_LKl53vM,0,0
49907,It-BFiycNXo,1,0
61529,J2wG5SVkENg,1,0
5325,pNwcdgTj1gk,0,0
16863,_WXht_2DPFo,5,0
61257,kxloC1MKTpg,1,0
56457,vtdyg48y3yg,0,0
59589,lEh7Jt_BuAw,3,0
15705,VZZsiyFoiV0,0,0
50045,Ag1w5XzB3ac,0,0
7553,23ryQMlp6E8,0,0
3064,aTarcH_YZ8Y,0,0
13327,WOXCdSMaNeE,0,0
27871,v1sF3ZVeEXE,1,3
45579,Z_XDgf9LTrM,0,0
64474,a2vF_iDm4a8,0,0
50107,XIDtp4gqlXY,0,0
3508,JKoShQFniOs,0,0
31547,drgHkc0LgOI,48,0
33749,Vii03Oa2F4o,0,0
47191,mWXurqWRA74,8,0
53455,myXVo16Xo3k,0,0
14467,2O7STvh5Q7s,0,0
49601,mZQKr4BlVXk,1,0
38684,FmrQN-isbJ0,55,0
64099,2jQBTKfH1fk,0,0
58087,YdujYS5KwYw,0,0
42560,G76HJZsiLts,0,0
33542,Wgx3XozOabo,0,0
58087,ctJDPjnZ3Ag,1,0
16421,aizF-5uSiYA,0,0
38649,Hs1J1yeewEk,0,0
49619,ctgMA9c3ybY,0,0
9588,CnYFSp-fMos,1,1
34580,uMD5F3-0_Y4,0,0
61030,90giGCD0jqE,0,0
