display_id,num_comms
KC-eCLHKYkE,40.0
HTeLSYipOK4,773.0
EAdBuXdIKek,0.0
JPoAfoteyco,0.0
Jc7zTNbdfbc,0.0
keT-lSSqU28,0.0
dBWeX8i7uUY,27.0
cIc9SCLbA-U,58.0
qeWD47QFzNU,0.0
FJw313lXZXY,0.0
JaO06f2R5hk,2.0
PbWe1w0kXOA,3.0
Bd6CHeasgG8,3.0
xAUsOQiBb_g,0.0
wlAeXQIOcS0,114.0
iNSFv8jBthA,0.0
b3epQ1iQBR0,0.0
nFT9dMVaSVI,2.0
fTkF-U0hzrc,3.0
3tHtKcGJnkM,261.0
8gLOwUEgjrs,1.0
OYQyCFBDiAE,1.0
DHVN55mfVrc,0.0
0mtdPaRjkts,13.0
ONMmFX20Lps,0.0
9b4gN-P-xlM,0.0
K2hduQ8s8Po,0.0
q0EtMzKbviU,0.0
IiXEkKBM08w,1.0
z_JIU2GH7fg,0.0
SsE-au0WdgA,19.0
47-L54Zs85I,260.0
O6gyFF3T1rA,1.0
UkxlON4q9M0,8.0
ztofEhIHfR0,0.0
FlBFxqF1eHY,82.0
4u8pREZu04s,74.0
FUf05YyIC1I,10.0
8mKcr8g5NKM,21.0
rToG6m1anMU,0.0
wkdnQ93ESMk,0.0
rAU8MtbwnMc,18.0
LjT6J-TPqVQ,2.0
njVkbXQRyqg,37.0
TZsEscve3Yo,5.0
XnXF5jfS1s8,11.0
voh_9mJPoIs,257.0
Y93DcoXes2I,19.0
PypjCwSGAPg,16.0
GaqFwfts_dE,15.0
UQrmA6YQWWo,5.0
UCUIW7dBCvQ,5.0
oLCfb54e_kM,1884.0
7yRqBkesOUc,16.0
2_XuHk-NJF0,8.0
nxr0-syAojc,461.0
MikmH4hV3io,6.0
5r_HZGR4LVA,14.0
VemlKGO4d28,3.0
7Ry_6hXF1Tk,0.0
oAmTax-kut8,78.0
Lb5MwTIV0Wc,640.0
fbhC2RpDW0c,0.0
l8xmNfj6ebg,0.0
kLSZO36bSLU,4.0
HdF95K1LpYQ,0.0
xIjfGqk-7Co,0.0
51c9-Zxc4fk,1.0
uTURcwKViLg,0.0
B-nxAmEYrsA,354.0
ezQURjj9s9o,2.0
NkFar8W8uYU,4.0
Ak2T1FGZzRs,0.0
l7gkjXBEqiY,17.0
mJ51vMdN0Kc,3.0
yH2-I-B_3II,0.0
_75sA0NCcp8,80.0
SAoZgWbM6s4,98.0
Q8YuaSB3OXo,0.0
Vok4U_sgG44,0.0
ULUsFrUc8Oo,106.0
0UYSjpfrgH0,614.0
9pZCDF3HYes,29.0
al7oHvnd-mc,12.0
E-dp61bFYNo,22.0
bv_c0wcw9rM,736.0
uobRk6Ts__E,1.0
Rn2iW4yk5N0,2.0
G1qFvdjYqT0,22.0
4jHF9cwEF94,20.0
JMZVZPOsVcY,75.0
hTVkEFGyF9M,57.0
7rFdNd5uej0,39.0
gRXRQYZJ-2o,203.0
qwVtKcNRmXo,74.0
o-rQGMizSFE,18.0
FlvPMY0A4xM,75.0
SwNIUtC3apA,116.0
Vul83bn_mrc,102.0
Zp0d1ZTtaeA,0.0
Eu8owh6d9RU,157.0
RjBAjYhUspE,16.0
Jbyij45WZjo,2.0
eMFX1XV-aWA,0.0
k0gb-RoSvBg,13.0
D-9DZW7zc5M,1.0
lH3EcCvK2vI,2.0
Fpq0zGJqWiQ,30.0
8Zm7Vkd88jY,0.0
ku14eCjXOno,0.0
bhHBMmzVdls,0.0
PUccvONwOjs,332.0
p_dZo_5tYgY,112.0
NpIZevijgcw,0.0
8ZrpVA69Uy8,257.0
74CGqmr0iDE,0.0
rF-aBkE5qpI,0.0
kXOrDEiWnJQ,19.0
pWiDWr9gbcc,481.0
ZF1YzqUKAY4,10.0
kz-8JrUH27o,0.0
ix1QXvrQFXY,0.0
MxPGs-KcrzA,6.0
QAV4AzkK0_I,5.0
zBuqIXqMw5I,2.0
Xsbow4hBZhM,8.0
Yj2maNDkRks,138.0
RGsnolpHr0A,371.0
JhaORDERWzU,5.0
xBx3fvmf4g8,0.0
Bt40aqT5Uo0,0.0
JjPEWPylzFQ,60.0
b1-K2paDcgI,2.0
7kmERIKFvCo,15.0
SL1iBUgXKJ4,0.0
F1b3Lis_dzE,587.0
oEa61df6PF8,31.0
BDRB6rpw40g,346.0
NLF0AZzo42s,0.0
8tF_dhrRw_c,0.0
eZGJeAsmx_c,234.0
E3ly6HpRwMk,1.0
ZNO3_rKNtRY,47.0
-RWS-Lf3teg,47.0
ZHhY8ZlY8p0,0.0
2kdHKjbRRmI,50.0
W5TI6ax2EdM,30.0
fCx-LQhKZiE,0.0
yoEJB9xdj7I,7.0
u2PFje7p174,6.0
G4GcifHAeXo,1339.0
hr8knfSooVI,25.0
pgczpG6Ny1k,2.0
rYv68j2lUtI,35.0
MW8tWipL3kE,4.0
LI2A8NcGOTU,0.0
8q8pvu6woqM,0.0
qSwz3uVdWX4,0.0
Jb89T8QcJzU,16.0
SXnRG1zOUl0,3.0
us8dG_9Fbzo,1.0
XgqaS_PW_sQ,0.0
nptLBVKIGMs,6.0
Uf3zfMvYWuQ,16.0
x4icVZYGff4,20.0
UvhX_H9rTj0,11.0
hReMIkuwfnc,0.0
_IdDgxzSqtg,30.0
IuMhoQ8i30c,3.0
I9jPoGS-pUE,0.0
kpYC8-aUZ1A,4.0
vwdPCI-br1c,9.0
HifvJnlNcB4,3.0
Z5rmly4PSJ0,237.0
vso1TY7RbyU,9246.0
pWMtF_RJM4U,162.0
SvJ7Rc9KhUA,2.0
-FpnYwyDoBc,0.0
SBkUll1kx6E,0.0
RZciqchXinE,0.0
SciwpDVAoio,156.0
NRfl1cZXsiE,1765.0
wbzDOH3xwPQ,8.0
Imp6YRqNc_o,11.0
Jn5sAIbjack,4.0
YxmftGq1ID4,0.0
PFCXWz2wodE,21.0
HPPaKE23EWc,1.0
wWW5UqQYOSo,203.0
atcORIepDxc,0.0
jr2sOMx5Cjk,2.0
EX0dsY0m9sE,2.0
-T1Ijlu31KM,0.0
FTyPJbL875k,26.0
dcztVXZlsds,7.0
6fHoUbGnn6Q,2.0
LOQv3l93lTQ,204.0
q-Muu3SWFeE,14.0
1-LXwBSw32M,0.0
rccp4S9QWdQ,2.0
IXOVd-O9wHE,2.0
HwwHp87SSoI,261.0
F78n89LIusg,0.0
J1tqtldDyWg,342.0
S7MsIF3GQXw,0.0
Nvf0VdfL9eU,5.0
KBa4ZuVqFz4,51.0
0tvFdB2gM-8,176.0
JyYeCsLe7nE,0.0
Ulc4j8W_DqE,211.0
l_R9I-qQEbs,0.0
jTbhfGMa1Dw,9.0
W76aaM11Ssg,38.0
-gvjiuKB_f8,0.0
LYzgJhVJzO4,13.0
RgCl05GehGU,158.0
C7bhrK2Ms1o,57.0
ixW0I4G5lTg,1169.0
gKd_vp6YAzM,30.0
J5RRRixrH00,122.0
h8T35POEvKg,0.0
raS-Bs7lkO4,4.0
cDd_P0BSTZs,0.0
MHqLiAhv_4o,8.0
s1N3eK1pteY,3.0
dpLDg8K3oVM,5.0
brsMRyK_fwY,5.0
O4XoNr7NZh0,125.0
uaeH0bOxDzc,58.0
FRUUBd8Hfyk,0.0
XBL-A4BvHeQ,1.0
uMYrjIqUjCU,0.0
eqe3xsrg7YM,18.0
G2ciyYudVXk,2.0
NEtOUXOrSbA,3.0
iz_3UmVQ4NE,3.0
_KqNCnd8AN4,10.0
49KwxZfcF5g,0.0
_PppwfA7KQo,22.0
pflfGA7THRU,4.0
lZYy8nhfX9A,51.0
uXkL2j4gVwU,0.0
NE9ljBfVziY,0.0
hSzNgvKbrZk,1357.0
f88dyEH2p_g,22.0
OiHozZ5cUgo,7.0
y3I1Om0A6jc,107.0
_0aKRh6xhDk,18.0
5yDZJRoy9ho,16.0
QddwZLZNIuI,0.0
fUAC9pnkI_o,10.0
IdNQLyNESZM,46.0
vZrQ4DRmUdw,7.0
zbBPQnJjsf8,22.0
7D09VyUkd0U,0.0
K973Kqo3Ch4,3.0
3627bzszwHg,8.0
ZWHEGTm4aBQ,37.0
TAqG7uUzJx0,0.0
Z8cIaYCZFyA,90.0
bUw8Ho_hN7c,13.0
